latin_name,status,year
Larus hyperboreus,LR/lc,1994
Larus hyperboreus,LR/lc,1988
Larus glaucoides,LC,2016
Larus glaucoides,LC,2012
Larus glaucoides,LC,2009
Larus glaucoides,LC,2008
Larus glaucoides,LC,2004
Larus glaucoides,LR/lc,2000
Larus glaucoides,NR,1994
Larus glaucoides,NR,1988
Larus thayeri,LC,2017
Larus thayeri,LC,2016
Larus thayeri,LC,2012
Larus thayeri,LC,2009
Larus thayeri,LC,2008
Larus thayeri,LC,2004
Larus thayeri,LR/lc,2000
Larus thayeri,NR,1994
Larus thayeri,NR,1988
Larus smithsonianus,LC,2016
Larus smithsonianus,LC,2014
Larus schistisagus,LC,2016
Larus schistisagus,LC,2012
Larus schistisagus,LC,2009
Larus schistisagus,LC,2008
Larus schistisagus,LC,2004
Larus schistisagus,LR/lc,2000
Larus schistisagus,LR/lc,1994
Larus schistisagus,LR/lc,1988
Sterna paradisaea,LC,2016
Sterna paradisaea,LC,2012
Sterna paradisaea,LC,2010
Sterna paradisaea,LC,2009
Sterna paradisaea,LC,2008
Sterna paradisaea,LC,2004
Sterna paradisaea,LR/lc,2000
Sterna paradisaea,LR/lc,1994
Sterna paradisaea,LR/lc,1988
Alle alle,LC,2017
Alle alle,LC,2016
Alle alle,LC,2012
Alle alle,LC,2009
Alle alle,LC,2008
Alle alle,LC,2004
Alle alle,LR/lc,2000
Alle alle,LR/lc,1994
Alle alle,LR/lc,1988
Uria aalge,LC,2016
Uria aalge,LC,2012
Uria aalge,LC,2009
Uria aalge,LC,2008
Uria aalge,LC,2004
Uria aalge,LR/lc,2000
Uria aalge,LR/lc,1994
Uria aalge,LR/lc,1988
Uria lomvia,LC,2016
Uria lomvia,LC,2012
Uria lomvia,LC,2009
Uria lomvia,LC,2008
Uria lomvia,LC,2004
Uria lomvia,LR/lc,2000
Uria lomvia,LR/lc,1994
Uria lomvia,LR/lc,1988
Alca torda,NT,2017
Alca torda,NT,2016
Alca torda,NT,2015
Alca torda,LC,2012
Alca torda,LC,2009
Alca torda,LC,2008
Alca torda,LC,2004
Alca torda,LR/lc,2000
Alca torda,LR/lc,1994
Alca torda,LR/lc,1988
Cepphus grylle,LC,2016
Cepphus grylle,LC,2012
Cepphus grylle,LC,2009
Cepphus grylle,LC,2008
Cepphus grylle,LC,2004
Cepphus grylle,LR/lc,2000
Cepphus grylle,LR/lc,1994
Cepphus grylle,LR/lc,1988
Brachyramphus brevirostris,NT,2016
Brachyramphus brevirostris,NT,2014
Brachyramphus brevirostris,CR,2013
Brachyramphus brevirostris,CR,2012
Brachyramphus brevirostris,CR,2010
Brachyramphus brevirostris,CR,2009
Brachyramphus brevirostris,CR,2008
Brachyramphus brevirostris,CR,2005
Brachyramphus brevirostris,CR,2004
Brachyramphus brevirostris,LR/lc,2000
Brachyramphus brevirostris,LR/lc,1994
Brachyramphus brevirostris,LR/lc,1988
Aethia psittacula,LC,2016
Aethia psittacula,LC,2012
Aethia psittacula,LC,2009
Aethia psittacula,LC,2008
Aethia psittacula,LC,2004
Aethia psittacula,LR/lc,2000
Aethia psittacula,LR/lc,1994
Aethia psittacula,LR/lc,1988
Aethia cristatella,LC,2016
Aethia cristatella,LC,2012
Aethia cristatella,LC,2009
Aethia cristatella,LC,2008
Aethia cristatella,LC,2004
Aethia cristatella,LR/lc,2000
Aethia cristatella,LR/lc,1994
Aethia cristatella,LR/lc,1988
Aethia pusilla,LC,2016
Aethia pusilla,LC,2012
Aethia pusilla,LC,2009
Aethia pusilla,LC,2008
Aethia pusilla,LC,2004
Aethia pusilla,LR/lc,2000
Aethia pusilla,LR/lc,1994
Aethia pusilla,LR/lc,1988
Fratercula arctica,VU,2017
Fratercula arctica,VU,2016
Fratercula arctica,VU,2015
Fratercula arctica,LC,2012
Fratercula arctica,LC,2009
Fratercula arctica,LC,2008
Fratercula arctica,LC,2004
Fratercula arctica,LR/lc,2000
Fratercula arctica,LR/lc,1994
Fratercula arctica,LR/lc,1988
Fratercula corniculata,LC,2016
Fratercula corniculata,LC,2012
