common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,knowntraits,adult_length_cm,adult_body_mass_g,WOS_results,WOS_TS_results,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,first_assess,n_assessment,first_status
Inconnu,Stenodus leucichthys,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,22000,22,NA,NA,NA,4.2,EW,2008,1,1,1,0,7,3,61,22000,9,20,0,0,0,0,1,1,1,1,0,0,0,0,1,2,2,0,0,1,0,1,1,0,0,0,0,1,1,0,3,1,2,2008,2,EW
Arctic grayling,Thymallus arcticus,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,2103,18,NA,NA,NA,3.3,LC,2008,1,0,0,0,2,3,34.3,2103,65,186,2,0,2,3,2,9,6,5,3,5,7,10,8,5,8,5,7,9,6,3,9,6,7,7,4,6,4,12,5,12,9,2008,1,LC
East Siberian grayling,Thymallus pallasii,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,3692,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,2,44,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
Grayling,Thymallus thymallus,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,6700,14,NA,NA,NA,3.1,LC,2011,1,0,0,0,8,3,30,6700,207,491,4,2,4,8,7,13,15,7,14,11,15,17,17,19,16,17,23,23,19,24,19,15,18,21,15,20,19,30,17,22,20,1996,3,LR/lc
Trout-perch,Percopsis omiscomaycus,Percopsidae,Freshwater,Actinopterygii,Freshwater fishes,62,4,NA,NA,NA,3.4,LC,2013,NA,NA,NA,NA,NA,3,8.8,NA,9,32,0,0,0,0,0,1,1,0,1,1,2,0,2,0,1,1,0,1,1,1,2,1,1,2,1,2,2,2,3,2,1,2013,1,LC
Atlantic cod,Gadus morhua,Gadidae,Marine,Actinopterygii,Marine fishes,52800,25,790,575e4,NA,4.3,VU,1996,NA,NA,NA,NA,NA,5,100,52800,1639,6636,23,12,30,17,74,87,80,85,111,125,162,186,174,178,167,207,234,238,229,331,337,345,350,382,346,385,371,358,356,360,295,1996,1,VU
Burbot,Lota lota,Gadidae,Freshwater,Actinopterygii,Freshwater fishes,18700,20,1460,NA,NA,4.1,LC,2013,NA,NA,NA,NA,NA,4,40,18700,173,337,1,2,1,3,4,8,6,3,6,10,10,8,12,11,4,12,14,11,7,9,15,16,9,16,26,17,24,14,23,19,16,2008,2,LC
Brook stickleback,Culaea inconstans,Gasterosteidae,Freshwater,Actinopterygii,Freshwater fishes,15,2,NA,NA,NA,3.3,LC,2013,NA,NA,NA,NA,NA,3,5,NA,42,177,0,3,1,0,3,5,4,5,9,7,8,5,2,14,4,11,8,11,7,10,8,8,7,5,6,7,5,2,1,8,3,2010,2,LC
Threespine stickleback,Gasterosteus aculeatus,Gasterosteidae,Freshwater,Actinopterygii,Freshwater fishes,15,8,365,NA,NA,3.4,LC,2015,NA,NA,NA,NA,NA,4,5.1,NA,585,2422,16,12,23,18,44,57,56,49,67,50,57,68,57,81,72,56,75,90,68,84,96,100,107,107,100,142,132,115,131,171,122,1996,5,LR/lc
Ninespine stickleback,Pungitius pungitius,Gasterosteidae,Freshwater,Actinopterygii,Freshwater fishes,29,5,NA,NA,NA,3.4,LC,2013,NA,NA,NA,NA,NA,3,6.5,NA,69,193,2,2,1,1,1,5,5,2,4,2,5,5,3,3,2,7,10,4,7,4,6,8,13,8,9,17,14,9,15,10,9,1996,3,LR/lc
Coastrange sculpin,Cottus aleuticus,Cottidae,Freshwater,Actinopterygii,Freshwater fishes,23,8,NA,800,NA,3.4,LC,2013,1,0,0,0,11,4,6,NA,7,26,0,0,0,0,0,0,2,0,2,0,0,3,1,0,1,0,2,1,1,1,1,0,1,0,1,1,1,3,1,0,3,2013,1,LC
Mottled sculpin,Cottus bairdii,Cottidae,Freshwater,Actinopterygii,Freshwater fishes,55,2,NA,NA,NA,3.3,LC,2013,NA,NA,NA,NA,NA,3,8.4,NA,43,290,3,0,1,3,3,6,4,3,10,13,8,11,9,6,14,14,6,12,9,10,11,9,17,13,12,17,15,10,11,18,12,2013,1,LC
Slimy sculpin,Cottus cognatus,Cottidae,Freshwater,Actinopterygii,Freshwater fishes,41,7,NA,NA,NA,3.4,LC,2013,NA,NA,NA,NA,NA,3,7.5,NA,52,181,0,1,0,2,2,9,2,3,4,3,1,8,6,3,6,5,2,8,9,8,17,11,9,9,7,11,8,11,7,5,4,2013,1,LC
bullhead,Cottus gobio,Cottidae,Freshwater,Actinopterygii,Freshwater fishes,86,5,NA,NA,NA,3.3,LC,2011,NA,NA,NA,NA,NA,3,10,NA,180,610,5,6,4,3,15,16,15,16,17,23,18,21,21,20,19,21,20,21,35,27,22,36,24,30,20,21,25,19,18,32,20,1996,2,LR/lc
Alpine bullhead,Cottus poecilopus,Cottidae,Freshwater,Actinopterygii,Freshwater fishes,130,8,NA,NA,NA,3,LC,2008,NA,NA,NA,NA,NA,3,11.8,NA,16,38,0,0,0,0,0,2,1,0,0,0,0,0,1,2,2,1,5,4,1,0,0,3,2,2,1,1,0,4,1,4,1,1996,2,LR/lc
Spoonhead sculpin,Cottus ricei,Cottidae,Freshwater,Actinopterygii,Freshwater fishes,23,NA,NA,NA,NA,3,LC,2013,NA,NA,NA,NA,NA,2,6,NA,5,11,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2,1,1,0,1,0,2013,1,LC
Siberian sculpin,Cottus sibiricus,Cottidae,Freshwater,Actinopterygii,Freshwater fishes,240,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,2,15,NA,6,14,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,2,3,0,1,0,0,0,0,0,1,0,1,0,0,1,NA,NA,NA
Deepwater sculpin,Myoxocephalus thompsonii,Cottidae,Freshwater,Actinopterygii,Freshwater fishes,151,NA,NA,NA,NA,3.2,LC,2013,1,0,0,0,4,2,12.5,NA,15,56,0,0,0,0,3,0,0,0,1,1,3,2,2,3,0,2,0,1,4,2,1,3,7,0,5,2,4,4,3,0,3,2013,1,LC
Ruffe,Gymnocephalus cernua,Percidae,Freshwater,Actinopterygii,Freshwater fishes,400,10,NA,NA,NA,3.3,LC,2008,NA,NA,NA,NA,NA,3,12,400,99,235,0,1,1,2,6,6,4,10,12,16,7,26,5,8,2,7,4,9,8,10,8,12,8,7,8,3,7,9,5,11,13,1996,2,LR/lc
European perch,Perca fluviatilis,Percidae,Freshwater,Actinopterygii,Freshwater fishes,2613,22,1368,NA,NA,3.7,LC,2008,NA,NA,NA,NA,NA,4,25,2613,410,1656,9,7,10,14,27,45,31,48,44,69,44,57,39,51,38,51,59,59,49,82,70,81,79,88,78,68,68,75,75,74,67,1996,2,LR/lc
Pike-perch,Sander lucioperca,Percidae,Freshwater,Actinopterygii,Freshwater fishes,11000,16,1338,NA,NA,4,LC,2008,NA,NA,NA,NA,NA,4,50,11000,159,336,0,0,0,1,0,1,3,4,0,5,2,6,2,3,1,4,8,10,17,19,22,22,24,13,18,24,31,17,19,30,29,1996,2,LR/lc
Walleye,Sander vitreus,Percidae,Freshwater,Actinopterygii,Freshwater fishes,11000,29,NA,NA,NA,4.2,LC,2013,1,1,0,0,6,3,54,11000,863,1832,15,10,16,19,42,34,40,37,41,87,48,60,50,48,65,80,78,67,85,76,89,77,74,61,92,86,79,71,71,72,63,2013,1,LC
Greenland shark,Somniosus microcephalus,Somniosidae,Marine,Chondrichthyes,Marine fishes,775000,392,54750,10,NA,4.3,NT,2006,0,1,0,0,5,5,73,775000,24,50,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,1,4,3,2,2,1,3,1,1,9,1,5,3,1,8,2006,1,NT
Arctic skate,Amblyraja hyperborea,Rajidae,Marine,Chondrichthyes,Marine fishes,34446,NA,NA,NA,NA,4,LC,2016,0,1,0,0,3,2,106,NA,2,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,1,0,0,2007,2,LC
Pacific herring,Clupea pallasii,Clupeidae,Marine,Actinopterygii,Marine fishes,183,19,NA,23500,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,46,183,198,516,9,7,5,8,10,8,11,10,7,10,13,14,23,19,24,21,13,16,20,18,17,25,23,22,24,24,24,21,24,21,26,NA,NA,NA
Capelin,Mallotus villosus,Osmeridae,Marine,Actinopterygii,Marine fishes,52,10,1095,6e4,NA,3.1,NA,NA,NA,NA,NA,NA,NA,5,20,52,200,719,7,2,4,3,19,18,13,19,20,20,21,35,22,23,19,54,29,32,26,25,31,31,37,20,18,41,32,26,21,34,17,NA,NA,NA
Glacier lanterfish,Benthosema glaciale,Myctophidae,Marine,Actinopterygii,Marine fishes,92,8,912,1080,NA,3,LC,2015,NA,NA,NA,NA,NA,5,10.3,NA,12,40,0,1,1,0,0,2,0,0,0,2,0,4,1,0,2,0,2,1,0,2,2,1,4,0,1,4,1,4,5,0,0,2015,1,LC
Arctic telescope,Protomyctophum arcticum,Myctophidae,Marine,Actinopterygii,Marine fishes,23,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,2,6,NA,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,NA,NA,NA
Silver rockling,Gaidropsarus argentatus,Phycidae,Marine,Actinopterygii,Marine fishes,2064,8,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,3,35,NA,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA
Threebeard rockling,Gaidropsarus ensis,Phycidae,Marine,Actinopterygii,Marine fishes,2898,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,2,40,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Polar cod,Arctogadus glacialis,Gadidae,Marine,Actinopterygii,Marine fishes,1710,13,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,3,32.5,NA,54,237,1,0,1,0,4,4,2,8,6,6,5,4,9,6,4,7,6,12,6,5,7,5,12,11,13,10,15,11,15,27,15,NA,NA,NA
Arctic cod,Boreogadus saida,Gadidae,Marine,Actinopterygii,Marine fishes,2898,7,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,3,40,NA,151,719,6,1,1,2,9,8,4,12,11,12,15,25,18,18,25,23,32,25,26,30,32,26,32,35,40,35,46,43,41,57,30,NA,NA,NA
Saffron cod,Eleginus gracilis,Gadidae,Marine,Actinopterygii,Marine fishes,1300,14,912,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,4,55,1300,2,22,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,3,2,1,2,0,2,0,0,5,1,NA,NA,NA
Navaga,Eleginus nawaga,Gadidae,Marine,Actinopterygii,Marine fishes,3280,12,NA,9e4,1,4.2,NA,NA,NA,NA,NA,NA,NA,5,42,NA,5,8,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,NA,NA,NA
Pacific cod,Gadus macrocephalus,Gadidae,Marine,Actinopterygii,Marine fishes,12485,18,1514,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,4,119,12485,97,543,3,4,1,2,7,5,6,4,8,4,11,13,13,9,7,14,15,26,20,17,22,33,25,32,26,40,35,30,42,27,41,NA,NA,NA
Atlantic hookear sculpin,Artediellus atlanticus,Cottidae,Marine,Actinopterygii,Marine fishes,240,17,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,3,15,NA,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,NA,NA,NA
Hamecon,Artediellus scaber,Cottidae,Marine,Actinopterygii,Marine fishes,55,7,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,3,8.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Arctic hookear sculpin,Artediellus uncinatus,Cottidae,Marine,Actinopterygii,Marine fishes,86,4,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,3,10,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Arctic staghorn sculpin,Gymnocanthus tricuspis,Cottidae,Marine,Actinopterygii,Marine fishes,1396,9,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,3,30,NA,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,0,NA,NA,NA
Twohorn sculpin,Icelus bicornis,Cottidae,Marine,Actinopterygii,Marine fishes,269,5,NA,1e3,NA,3.1,NA,NA,NA,NA,NA,NA,NA,4,15.7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Spatulate sculpin,Icelus spatula,Cottidae,Marine,Actinopterygii,Marine fishes,160,7,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,3,21,160,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Fourhorn sculpin,Triglopsis quadricornis,Cottidae,Marine,Actinopterygii,Marine fishes,260,14,NA,NA,NA,3.7,LC,2013,NA,NA,NA,NA,NA,3,60,260,8,17,0,2,0,1,1,3,1,1,1,2,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1990,6,V
Arctic sculpin,Myoxocephalus scorpioides,Cottidae,Marine,Actinopterygii,Marine fishes,635,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,2,22,NA,8,65,0,0,0,0,2,8,2,1,2,0,3,1,2,1,2,1,3,3,3,2,3,4,1,0,2,2,7,2,3,4,1,NA,NA,NA
Shorthorn sculpin,Myoxocephalus scorpius,Cottidae,Marine,Actinopterygii,Marine fishes,8116,15,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,3,60,NA,14,91,0,0,0,0,3,1,3,3,4,2,2,3,4,9,4,4,4,3,4,4,3,3,5,2,1,3,5,2,5,3,2,NA,NA,NA
NA,Porocottus quadrifilis,Cottidae,Marine,Actinopterygii,Marine fishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Bigeye sculpin,Triglops nybelini,Cottidae,Marine,Actinopterygii,Marine fishes,498,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,2,20,NA,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA
Ribbed sculpin,Triglops pingelii,Cottidae,Marine,Actinopterygii,Marine fishes,498,9,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,3,20,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
Arctic alligatorfish,Aspidophoroides olrikii,Agonidae,Marine,Actinopterygii,Marine fishes,58,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,2,8.6,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,NA,NA,NA
Atlantic poacher,Leptagonus decagonus,Agonidae,Marine,Actinopterygii,Marine fishes,564,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,2,21,NA,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,2,2,1,1,NA,NA,NA
Veteran poacher,Podothecus veternus,Agonidae,Marine,Actinopterygii,Marine fishes,1171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Polar sculpin,Cottunculus microps,Psychrolutidae,Marine,Actinopterygii,Marine fishes,1396,8,NA,200,NA,3.3,NA,NA,NA,NA,NA,NA,NA,4,30,NA,2,23,0,0,0,0,0,0,1,1,2,0,1,0,1,0,1,0,0,1,0,0,2,0,0,0,2,0,5,2,0,2,2,NA,NA,NA
NA,Psychrolutes subspinosus,Psychrolutidae,Marine,Actinopterygii,Marine fishes,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Smooth lumpfish,Cyclopteropsis jordani,Cyclopteridae,Marine,Actinopterygii,Marine fishes,24,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,2,6.1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
Arctic lumpsucker,Cyclopteropsis mcalpini,Cyclopteridae,Marine,Actinopterygii,Marine fishes,41,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.5,NA,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,NA,NA,NA
Leatherfin lumpsucker,Eumicrotremus derjugini,Cyclopteridae,Marine,Actinopterygii,Marine fishes,86,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,2,10,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Atlantic spiny lumpsucker,Eumicrotremus spinosus,Cyclopteridae,Marine,Actinopterygii,Marine fishes,173,3,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,3,13.2,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA
Deryugin's tadpole,Careproctus derjugini,Liparidae,Marine,Actinopterygii,Marine fishes,613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21.7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,Careproctus dubius,Liparidae,Marine,Actinopterygii,Marine fishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Kido's snailfish,Careproctus kidoi,Liparidae,Marine,Actinopterygii,Marine fishes,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.5,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
Knipowitsch's tadpole,Careproctus knipowitschi,Liparidae,Marine,Actinopterygii,Marine fishes,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,Careproctus longipinnis,Liparidae,Marine,Actinopterygii,Marine fishes,1068,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,2,27,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,Careproctus macrophthalmus,Liparidae,Marine,Actinopterygii,Marine fishes,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10.9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,Careproctus micropus,Liparidae,Marine,Actinopterygii,Marine fishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Scotian snailfish,Careproctus ranula,Liparidae,Marine,Actinopterygii,Marine fishes,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,Careproctus reinhardti,Liparidae,Marine,Actinopterygii,Marine fishes,1396,9,NA,300,NA,3.8,NA,NA,NA,NA,NA,NA,NA,4,30,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA
NA,Careproctus solidus,Liparidae,Marine,Actinopterygii,Marine fishes,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11.8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Tapir tadpole,Careproctus tapirus,Liparidae,Marine,Actinopterygii,Marine fishes,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Telescope tadpole,Careproctus telescopus,Liparidae,Marine,Actinopterygii,Marine fishes,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,Liparis bathyarcticus,Liparidae,Marine,Actinopterygii,Marine fishes,201,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Gelatinous seasnail,Liparis fabricii,Liparidae,Marine,Actinopterygii,Marine fishes,498,6,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,3,20,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Dusky snailfish,Liparis gibbus,Liparidae,Marine,Actinopterygii,Marine fishes,5643,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,2,52,NA,2,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
Festive snailfish,Liparis marmoratus,Liparidae,Marine,Actinopterygii,Marine fishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA
Kelp snailfish,Liparis tunicatus,Liparidae,Marine,Actinopterygii,Marine fishes,283,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,2,16,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Black seasnail,Paraliparis bathybius,Liparidae,Marine,Actinopterygii,Marine fishes,905,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,2,25.3,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,Paraliparis violaceus,Liparidae,Marine,Actinopterygii,Marine fishes,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Threadfin seasnail,Rhodichthys regina,Liparidae,Marine,Actinopterygii,Marine fishes,1517,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,2,31,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,Gymnelus andersoni,Zoarcidae,Marine,Actinopterygii,Marine fishes,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,Gymnelus esipovi,Zoarcidae,Marine,Actinopterygii,Marine fishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Halfbarred pout,Gymnelus hemifasciatus,Zoarcidae,Marine,Actinopterygii,Marine fishes,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10.5,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
Aurora pout,Gymnelus retrodorsalis,Zoarcidae,Marine,Actinopterygii,Marine fishes,201,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,2,14,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,Gymnelus taeniatus,Zoarcidae,Marine,Actinopterygii,Marine fishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Fish doctor,Gymnelus viridis,Zoarcidae,Marine,Actinopterygii,Marine fishes,6812,12,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,3,56,NA,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,3,0,1,1,1,1,0,NA,NA,NA
