common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,knowntraits,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,first_assess,first_status,n_assessment,WOS_1987,WOS_1988,WOS_1989,WOS_1990,WOS_1991,WOS_1992,WOS_1993,WOS_1994,WOS_1995,WOS_1996,WOS_1997,WOS_1998,WOS_1999,WOS_2000,WOS_2001,WOS_2002,WOS_2003,WOS_2004,WOS_2005,WOS_2006,WOS_2007,WOS_2008,WOS_2009,WOS_2010,WOS_2011,WOS_2012,WOS_2013,WOS_2014,WOS_2015,WOS_2016,WOS_2017
Semipalmated Sandpiper,Calidris pusilla,Scolopacidae,Terrestrial,Aves,Terrestrial birds,27,19.3,365,4,1,3,6,NT,2016,1,1,1,1,11,1988,LR/lc,8,0,2,1,3,6,3,8,10,5,1,7,8,12,8,10,7,9,2,8,9,10,14,13,10,9,20,15,11,8,15,7
Western Sandpiper,Calidris mauri,Scolopacidae,Terrestrial,Aves,Terrestrial birds,26,9.2,730,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,1,1,1,1,5,0,6,5,5,6,9,11,8,13,8,13,11,9,13,20,17,17,17,12,12,18,21,14,14,13,11
Red-necked Stint,Calidris ruficollis,Scolopacidae,Terrestrial,Aves,Terrestrial birds,27,5.1,NA,4,1.5,3,5,NT,2016,1,0,0,1,8,1988,LR/lc,9,0,0,0,0,0,0,0,2,0,1,1,0,1,1,1,0,0,1,0,1,2,0,3,0,1,1,0,0,1,1,0
Little Stint,Calidris minuta,Scolopacidae,Terrestrial,Aves,Terrestrial birds,21,14.7,730,4,2,3,6,LC,2016,1,1,1,1,12,1988,LR/lc,8,0,0,0,0,1,1,0,2,0,1,3,3,0,1,0,1,1,0,0,0,3,1,3,2,3,3,1,2,3,1,2
Temminck's Stint,Calidris temminckii,Scolopacidae,Terrestrial,Aves,Terrestrial birds,23,12.9,455,4,2,3,6,LC,2016,0,0,1,1,15,1988,LR/lc,8,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,3,1,1,2,1,0,3,3,1,0
Least Sandpiper,Calidris minutilla,Scolopacidae,Terrestrial,Aves,Terrestrial birds,26,16,365,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,9,1,1,0,2,9,4,10,10,6,6,12,14,5,18,12,7,10,7,13,15,20,13,17,19,12,18,9,15,13,9,11
White-rumped Sandpiper,Calidris fuscicollis,Scolopacidae,Terrestrial,Aves,Terrestrial birds,42,7,365,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,1,0,0,1,3,1,1,1,0,0,0,2,1,3,2,2,2,1,1,2,3,2,4,3,2,3,0,4,3,1,1
Baird's Sandpiper,Calidris bairdii,Scolopacidae,Terrestrial,Aves,Terrestrial birds,39,NA,NA,4,1,3,4,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,1,2,0,1,1,1,1
Pectoral Sandpiper,Calidris melanotos,Scolopacidae,Terrestrial,Aves,Terrestrial birds,85,5.9,365,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,1,1,1,0,0,1,2,1,2,3,2,0,1,0,3,1,2,1,0,2,2,1,2,2,3,1,1,1
Sharp-tailed Sandpiper,Calidris acuminata,Scolopacidae,Terrestrial,Aves,Terrestrial birds,68,NA,NA,4,NA,3,3,LC,2016,0,0,0,1,1,1988,LR/lc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0
Curlew Sandpiper,Calidris ferruginea,Scolopacidae,Terrestrial,Aves,Terrestrial birds,58,19.7,1095,4,NA,3,5,NT,2017,1,1,1,1,25,1988,LR/lc,10,1,0,0,0,3,3,5,6,6,5,3,3,1,5,4,3,4,0,2,2,2,0,1,1,3,3,4,5,0,1,4
Purple Sandpiper,Calidris maritima,Scolopacidae,Terrestrial,Aves,Terrestrial birds,65,20.8,1095,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,1,0,2,0,1,3,1,0,2,2,3,1,0,2,2,2,3,0,0,0,1,2,2,1,3,4,1,1,2,1
Rock Sandpiper,Calidris ptilocnemis,Scolopacidae,Terrestrial,Aves,Terrestrial birds,84,7.34,365,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,2,1
