common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,knowntraits,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,first_assess,first_status,n_assessment,WOS_1987,WOS_1988,WOS_1989,WOS_1990,WOS_1991,WOS_1992,WOS_1993,WOS_1994,WOS_1995,WOS_1996,WOS_1997,WOS_1998,WOS_1999,WOS_2000,WOS_2001,WOS_2002,WOS_2003,WOS_2004,WOS_2005,WOS_2006,WOS_2007,WOS_2008,WOS_2009,WOS_2010,WOS_2011,WOS_2012,WOS_2013,WOS_2014,WOS_2015,WOS_2016,WOS_2017
Ltken's eelpout,Lycodes luetkenii,Zoarcidae,Marine,Actinopterygii,Marine fishes,2140,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White sea eelpout,Lycodes marisalbi,Zoarcidae,Marine,Actinopterygii,Marine fishes,585,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0
McAllister's eelpout,Lycodes mcallisteri,Zoarcidae,Marine,Actinopterygii,Marine fishes,2460,NA,NA,NA,NA,4.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saddled eelpout,Lycodes mucosus,Zoarcidae,Marine,Actinopterygii,Marine fishes,524,NA,NA,NA,NA,3.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paamiut eelpout,Lycodes paamiuti,Zoarcidae,Marine,Actinopterygii,Marine fishes,792,NA,NA,NA,NA,NA,1,LC,2010,NA,NA,NA,NA,NA,2010,LC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pale eelpout,Lycodes pallidus,Zoarcidae,Marine,Actinopterygii,Marine fishes,970,NA,NA,NA,NA,3.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Canadian eelpout,Lycodes polaris,Zoarcidae,Marine,Actinopterygii,Marine fishes,878,NA,NA,NA,NA,3.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Arctic eelpout,Lycodes reticulatus,Zoarcidae,Marine,Actinopterygii,Marine fishes,2218,10,NA,NA,NA,3.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,1,0,0,0,0,1,4,1,0,0,2,1,0
Threespot eelpout,Lycodes rossi,Zoarcidae,Marine,Actinopterygii,Marine fishes,64,9,NA,NA,NA,3.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archer eelpout,Lycodes sagittarius,Zoarcidae,Marine,Actinopterygii,Marine fishes,71,NA,NA,NA,NA,3.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longear eelpout,Lycodes seminudus,Zoarcidae,Marine,Actinopterygii,Marine fishes,5561,8,NA,NA,NA,3.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Scalebelly eelpout,Lycodes squamiventer,Zoarcidae,Marine,Actinopterygii,Marine fishes,970,21,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Polar eelpout,Lycodes turneri,Zoarcidae,Marine,Actinopterygii,Marine fishes,878,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,0,3,0,1,0,0,0,0
NA,Lycodonus flagellicauda,Zoarcidae,Marine,Actinopterygii,Marine fishes,492,NA,NA,NA,NA,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stout eelblenny,Anisarchus medius,Stichaeidae,Marine,Actinopterygii,Marine fishes,1396,NA,NA,NA,NA,3.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fourline snakeblenny,Eumesogrammus praecisus,Stichaeidae,Marine,Actinopterygii,Marine fishes,635,NA,NA,NA,NA,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daubed shanny,Leptoclinus maculatus,Stichaeidae,Marine,Actinopterygii,Marine fishes,498,NA,NA,NA,NA,3.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1
Slender eelblenny,Lumpenus fabricii,Stichaeidae,Marine,Actinopterygii,Marine fishes,2297,NA,NA,NA,NA,3.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,Stichaeus punctatus,Stichaeidae,Marine,Actinopterygii,Marine fishes,635,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Banded gunnel,Pholis fasciata,Pholidae,Marine,Actinopterygii,Marine fishes,1396,NA,NA,NA,NA,3.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern wolffish,Anarhichas denticulatus,Anarhichadidae,Marine,Actinopterygii,Marine fishes,20000,16,NA,NA,NA,3.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,3,1,0,0
Northern sand lance,Ammodytes dubius,Ammodytidae,Marine,Actinopterygii,Marine fishes,878,10,NA,2.00E+04,NA,3.3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,5,2,1,3,0,4,3,1,0,1,5,0,0,3,1,1,4,3,1,0,1,3,2,3,3,2
Pacific sand lance,Ammodytes hexapterus,Ammodytidae,Marine,Actinopterygii,Marine fishes,100,11,912,2.00E+04,NA,3.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,2,3,0,2,1,2,1,6,5,3,5,3,1,5,5,2,9,4,2,2,4,6,4,4,4,4
Bering flounder,Hippoglossoides robustus,Pleuronectidae,Marine,Actinopterygii,Marine fishes,1396,30,NA,NA,NA,4.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,2,1,0,0,0,2,1,0,2,2,2,3,4,2,2,4,5,4,1,1,1,5,1
Arctic flounder,Liopsetta glacialis,Pleuronectidae,Marine,Actinopterygii,Marine fishes,2064,28,2190,NA,0.5,3.6,5,LC,2008,NA,NA,NA,NA,NA,2008,LC,1,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,2,2,1,1,2,1,3,2,1,2,2,3,2,1,2,2
Starry flounder,Platichthys stellatus,Pleuronectidae,Marine,Actinopterygii,Marine fishes,9100,24,2920,NA,NA,3.5,4,LC,2013,NA,NA,NA,NA,NA,2013,LC,1,3,2,0,0,8,8,4,7,1,7,6,10,5,5,2,3,8,4,1,1,7,2,5,4,1,2,0,3,3,6,3
Greenland halibut,Reinhardtius hippoglossoides,Pleuronectidae,Marine,Actinopterygii,Marine fishes,7000,30,3826,NA,NA,4.1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,0,3,2,4,2,3,2,9,10,5,8,10,9,6,9,8,6,11,5,5,12,6,9,13,8,12,12,9
Tundra Shrew,Sorex tundrensis,Soricidae,Terrestrial,Mammalia,Terrestrial mammals,8,1.5,348,6.69,1.9,2,6,LC,2016,NA,NA,NA,NA,NA,1996,LR/lc,3,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0,0,1,1,4,0,0,0,3,1,0,2,1,0
Barren-ground Shrew,Sorex ugyunak,Soricidae,Terrestrial,Mammalia,Terrestrial mammals,5,2.5,242,6.5,1.9,2,6,LC,2016,NA,NA,NA,NA,NA,1996,LR/lc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pribilof Island Shrew,Sorex pribilofensis,Soricidae,Terrestrial,Mammalia,Terrestrial mammals,NA,NA,NA,NA,NA,2,1,EN,2008,1,0,1,1,7,1996,EN,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lawrence Island Shrew,Sorex jacksoni,Soricidae,Terrestrial,Mammalia,Terrestrial mammals,5,2.5,242,6.5,1.9,2,6,LC,2016,NA,NA,NA,NA,NA,1996,EN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portenkoi's Shrew,Sorex portenkoi,Soricidae,Terrestrial,Mammalia,Terrestrial mammals,5,2.5,242,6.5,1.9,2,6,DD,2016,NA,NA,NA,NA,NA,1996,LR/lc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska Hare,Lepus othus,Leporidae,Terrestrial,Mammalia,Terrestrial mammals,3068,18,266,3.96,2.07,2,6,LC,2008,NA,NA,NA,NA,NA,1996,LR/lc,3,0,1,0,0,2,0,0,1,1,1,3,0,2,2,0,2,1,3,1,1,2,2,3,2,1,5,4,3,4,4,2
Arctic Hare,Lepus arcticus,Leporidae,Terrestrial,Mammalia,Terrestrial mammals,3030,18,309,3.96,2.07,2,6,LC,2008,NA,NA,NA,NA,NA,1996,LR/lc,2,1,2,2,1,3,2,0,3,2,2,2,4,6,5,3,2,1,3,2,4,2,2,1,2,3,2,1,5,3,2,2
Alaska Marmot,Marmota broweri,Sciuridae,Terrestrial,Mammalia,Terrestrial mammals,3180,12.1,868,4.635,0.75,2,6,LC,2016,NA,NA,NA,NA,NA,1996,LR/lc,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,2,0,0,1,1,1
Arctic Ground Squirrel,Urocitellus parryii,Sciuridae,Terrestrial,Mammalia,Terrestrial mammals,747,2.6,383,6.3,1,2,6,LC,2016,1,1,0,0,3,1996,LR/lc,4,1,0,0,2,0,1,1,2,2,1,3,2,6,3,4,3,1,2,6,3,3,2,4,6,10,9,7,7,11,8,8
Nearctic Collared Lemming,Dicrostonyx groenlandicus,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,66,3.3,40,3.4,8.5,2,6,LC,2016,NA,NA,NA,NA,NA,1996,LR/lc,3,0,1,1,1,1,0,7,2,5,2,1,3,3,4,3,6,3,4,1,4,2,4,2,3,9,5,1,5,3,2,1
Ungava Collared Lemming,Dicrostonyx hudsonius,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,57,0.7,NA,3.49,1.5,2,5,LC,2016,NA,NA,NA,NA,NA,1996,LR/lc,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nelson's Collared Lemming,Dicrostonyx nelsoni,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,58,3.3,40,3.4,2.5,2,6,LC,2016,NA,NA,NA,NA,NA,1996,LR/lc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richardson's Collared Lemming,Dicrostonyx richardsoni,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,55,3.3,91,3.5,2.5,2,6,LC,2016,NA,NA,NA,NA,NA,1996,LR/lc,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Palearctic Collared Lemming,Dicrostonyx torquatus,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,85,3.8,91,4.07,2,2,6,LC,2016,0,0,0,1,1,1996,LR/lc,3,1,0,0,0,1,0,2,0,0,1,0,0,3,1,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0
Wrangel Island Collared Lemming,Dicrostonyx vinogradovi,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,68,3.8,91,3.85,1.75,2,6,DD,2016,0,0,0,1,1,1996,CR,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway Lemming,Lemmus lemmus,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,70,3.3,24,7,2.5,2,6,LC,2016,NA,NA,NA,NA,NA,1996,LR/lc,1,0,0,1,1,1,1,0,2,2,0,3,2,5,8,8,5,0,6,5,2,7,4,4,1,11,5,8,13,7,4,5
Nearctic Brown Lemming,Lemmus trimucronatus,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,61,1.7,51,6.39,3.25,2,6,LC,2016,NA,NA,NA,NA,NA,2008,LC,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,1,0,0,1,6,2,1,4,2,2,2
Singing Vole,Microtus miurus,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,40,2.1,41,5.96,4.67,2,6,LC,2016,NA,NA,NA,NA,NA,1996,LR/lc,3,0,0,0,0,2,0,1,0,2,0,0,0,0,1,0,1,0,1,1,0,2,0,1,0,0,0,1,1,2,0,2
Tundra Vole,Microtus oeconomus,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,58,2.2,30,7,3.5,2,6,LC,2016,NA,NA,NA,NA,NA,1996,LR/nt,4,2,0,0,1,1,5,5,4,15,8,9,16,14,8,14,14,10,10,14,13,15,16,14,13,19,11,21,11,10,8,5
Caribou,Rangifer tarandus,Cervidae,Terrestrial,Mammalia,Terrestrial mammals,101250,21.8,662,1,1,2,6,VU,2016,1,1,1,0,9,1965,NA,4,15,7,12,11,10,19,19,18,22,22,27,42,22,50,41,37,58,48,58,55,69,52,53,61,65,73,74,78,65,70,74
Muskox,Ovibos moschatus,Bovidae,Terrestrial,Mammalia,Terrestrial mammals,315000,27.4,1096,1,0.8,2,6,LC,2008,0,1,0,1,3,1996,LR/lc,2,2,0,7,2,4,1,1,4,6,4,8,6,7,5,6,8,7,4,8,5,8,3,3,6,10,8,3,4,2,1,4
Gray Wolf,Canis lupus,Canidae,Terrestrial,Mammalia,Terrestrial mammals,26625,20.6,669,6,0.8,3,6,LC,2010,1,1,0,0,5,1982,V,9,3,1,3,3,22,19,20,19,17,35,32,43,32,43,32,47,48,72,70,70,80,79,89,91,98,112,101,97,129,135,118
Arctic Fox,Vulpes lagopus,Canidae,Terrestrial,Mammalia,Terrestrial mammals,5200,16.3,304,9,1,3,6,LC,2014,1,1,1,0,6,1996,LR/lc,4,0,1,5,1,7,13,9,6,15,12,7,12,8,15,13,13,17,11,13,12,24,23,20,16,23,23,22,16,18,25,33
Brown Bear,Ursus arctos,Ursidae,Terrestrial,Mammalia,Terrestrial mammals,277500,40,1313,2,0.4,2.5,6,LC,2017,1,1,0,1,32,1996,LR/lc,4,2,2,3,2,13,19,6,19,23,27,21,34,34,37,36,63,37,79,68,70,72,73,76,73,77,102,99,111,91,110,100
Least Weasel,Mustela nivalis,Mustelidae,Terrestrial,Mammalia,Terrestrial mammals,47,9.1,120,5,1.5,3,6,LC,2016,1,1,0,0,4,2016,LC,1,2,2,3,1,2,9,7,3,11,11,12,13,9,12,7,11,13,12,10,14,8,9,7,14,5,9,15,8,7,14,14
Stoat,Mustela erminea,Mustelidae,Terrestrial,Mammalia,Terrestrial mammals,110,12.5,95,6.77,1,3,6,LC,2016,NA,NA,NA,NA,NA,1996,LR/lc,3,3,2,1,3,7,5,9,8,12,19,13,19,19,19,18,18,23,18,17,23,20,19,10,17,10,20,15,11,13,10,18
Wolverine,Gulo gulo,Mustelidae,Terrestrial,Mammalia,Terrestrial mammals,16333,19.5,710,3,0.5,3,6,LC,2016,1,1,0,0,13,1988,V,7,1,2,1,1,2,0,2,2,4,3,4,6,2,3,4,7,6,12,5,9,29,10,6,12,10,13,14,13,11,13,6
